time,datetime,Blue,Green,Red,NIR,visnirAlbedo,std3,std5,std9,std15,satellite,Albedo_theta<70d,Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),CloudCover,Station
1597763044114,2020-08-18 15:04:04.114,0.8691748380661011,0.8266232013702393,0.7510928511619568,0.4638654887676239,0.5588070728451013,0.0579369179673591,0.0530504202450159,0.0497479502179294,0.0498801664978737,Sentinel2,0.526,2020.0,8.0,18.0,15.0,0.24,KAN_L
1597850640979,2020-08-19 15:24:00.979,0.8882690668106079,0.8408138155937195,0.7492638230323792,0.4226300120353699,0.5549356226146224,0.0591267354002394,0.0569460936424788,0.0480245165062203,0.0488575037087424,Sentinel2,0.509,2020.0,8.0,19.0,15.0,0.18,KAN_L
1598022842037,2020-08-21 15:14:02.037,0.8459579348564148,0.7973948121070862,0.7166640162467957,0.423904150724411,0.5490807199805976,0.0571728313029982,0.0516865891222505,0.0482578816715884,0.0492873921921374,Sentinel2,0.519,2020.0,8.0,21.0,15.0,0.13,KAN_L
1598107747472,2020-08-22 14:49:07.472,0.8652125000953674,0.8094425201416016,0.7354400157928467,0.4245525002479553,0.5208853492856025,0.0328095963851597,0.0318295911336514,0.0280952700311069,0.0298378256632992,Landsat,0.516,2020.0,8.0,22.0,15.0,0.18,KAN_L
1598195046111,2020-08-23 15:04:06.111,0.8701512217521667,0.8272585868835449,0.7500169277191162,0.4649079740047455,0.5666184264391658,0.0626869884114597,0.0580952264493976,0.0535266743613906,0.0538841666231133,Sentinel2,0.52,2020.0,8.0,23.0,15.0,0.16,KAN_L
1598282638667,2020-08-24 15:23:58.667,0.8664625883102417,0.8243992924690247,0.7505548596382141,0.4797342121601105,0.5760947584480047,0.0490744035142738,0.0431294397256905,0.0409823922979609,0.0416830089656723,Sentinel2,0.522,2020.0,8.0,24.0,15.0,0.3,KAN_L
1598884981002,2020-08-31 14:43:01.002,0.7781199812889099,0.6985899806022644,0.6647099852561951,0.5351024866104126,0.6265396242320537,0.051357777942882,0.0606322975712329,0.0672405636431752,0.0630646099791131,Landsat,,,,,,,
1599146638215,2020-09-03 15:23:58.215,0.98449969291687,0.947455108165741,0.933457851409912,0.8140195608139038,0.722858984911442,0.045912188747752,0.044206124349394,0.0470156327339116,0.0463729094131047,Sentinel2,0.667,2020.0,9.0,3.0,15.0,0.0,KAN_L
1600355042156,2020-09-17 15:04:02.156,0.8228495717048645,0.7643539905548096,0.7536749839782715,0.6823208928108215,0.6795020120739937,0.0121693153597962,0.0312941661078258,0.0409901952259423,0.0433600459786374,Sentinel2,0.859,2020.0,9.0,17.0,15.0,0.49,KAN_L
1604070841623,2020-10-30 15:14:01.623,0.7234727740287781,0.6151409149169922,0.6210165023803711,0.5474947690963745,0.578057112044096,0.0094426865403546,0.0098691756358659,0.0112458872848075,0.0134927127088197,Sentinel2,,,,,,,
1612883040502,2021-02-09 15:04:00.502,0.687345564365387,0.5135828256607056,0.4460751712322235,0.2473792135715484,0.5632405626922845,0.0109659467147368,0.0145784690475253,0.019130207416313,0.0288861001681602,Sentinel2,,,,,,,
1615043039779,2021-03-06 15:03:59.779,0.9105095267295836,0.8097851276397705,0.7629277110099792,0.5391550064086914,0.6146703055918213,0.0256562508305737,0.0256154360939017,0.0287458551691984,0.0315951282492654,Sentinel2,,,,,,,
1619620946367,2021-04-28 14:42:26.367,0.9491425156593324,0.8736274838447571,0.7994325160980225,0.601954996585846,0.7396889706015586,0.0211561360884444,0.0189193738948997,0.0172082030942144,0.0195094140991793,Landsat,0.614,2021.0,4.0,28.0,15.0,0.13,KAN_L
1619622833951,2021-04-28 15:13:53.951,0.942839503288269,0.8975762128829956,0.880846381187439,0.7242513298988342,0.6506303611814974,0.0171897196844255,0.0190716237699343,0.0194693372587535,0.0203730513898746,Sentinel2,0.614,2021.0,4.0,28.0,15.0,0.13,KAN_L
1619795038175,2021-04-30 15:03:58.175,0.9741931557655334,0.9270163774490356,0.8991366624832153,0.7082667946815491,0.6499261924386024,0.0267357364046835,0.0252578083207264,0.0251515028721193,0.025076439633643,Sentinel2,0.576,2021.0,4.0,30.0,15.0,0.06,KAN_L
1619882631356,2021-05-01 15:23:51.356,0.9561837911605836,0.909860610961914,0.8735302686691284,0.6820892095565796,0.657527190613747,0.0207810231524485,0.0212275567751449,0.0213532233847559,0.0224745113669494,Sentinel2,0.557,2021.0,5.0,1.0,15.0,0.02,KAN_L
1620054836675,2021-05-03 15:13:56.675,0.9324244856834412,0.8954582214355469,0.8576069474220276,0.6473402380943298,0.6176440837979317,0.0219326484997455,0.022631629257652,0.0236777401612882,0.0247731065226186,Sentinel2,0.514,2021.0,5.0,3.0,15.0,0.0,KAN_L
1620226112458,2021-05-05 14:48:32.458,0.9927024841308594,0.8964250087738037,0.8279774785041809,0.5421975255012512,0.6324756875932219,0.0131765744131853,0.0132632444820038,0.0172314950292067,0.020465340837962,Landsat,0.524,2021.0,5.0,5.0,15.0,0.0,KAN_L
1620227037768,2021-05-05 15:03:57.768,0.9000944495201111,0.8557456731796265,0.8075775504112244,0.6004290580749512,0.6266828488886355,0.0204265882003148,0.0236202867506661,0.0228599703068541,0.0242093828476415,Sentinel2,0.524,2021.0,5.0,5.0,15.0,0.0,KAN_L
1620314633891,2021-05-06 15:23:53.891,0.9169104099273682,0.8738545775413513,0.8399621844291687,0.6432861685752869,0.6179591817677019,0.023599752852843,0.02373420773347,0.0245179171186809,0.0264653827564581,Sentinel2,0.539,2021.0,5.0,6.0,15.0,0.07,KAN_L
1620659039887,2021-05-10 15:03:59.887,0.8626654148101807,0.8261995911598206,0.784338116645813,0.5888460874557495,0.6022512784600258,0.0183165067713003,0.0192707906433248,0.0188455035629287,0.0219609222836271,Sentinel2,0.53,2021.0,5.0,10.0,15.0,0.32,KAN_L
1620918838227,2021-05-13 15:13:58.227,0.9624761939048768,0.9355943202972412,0.9373311400413512,0.8706604242324829,0.7436602877557277,0.0198542292213304,0.0235646691620067,0.0264612757131546,0.0285100064914678,Sentinel2,0.701,2021.0,5.0,13.0,15.0,0.01,KAN_L
1621350838070,2021-05-18 15:13:58.070,0.8681983947753906,0.8192101716995239,0.7733639478683472,0.5661433935165405,0.6006444039940834,0.0212761120934784,0.0223486271363804,0.0221500048121225,0.0241297593706972,Sentinel2,0.526,2021.0,5.0,18.0,15.0,0.0,KAN_L
1622213696518,2021-05-28 14:54:56.518,0.8701624870300293,0.7996799945831299,0.7360450029373169,0.4682775139808655,0.5621687509000304,0.0133505092767859,0.0150418533833579,0.0158570181285015,0.0166161665355484,Landsat,0.528,2021.0,5.0,28.0,15.0,0.01,KAN_L
1622214839143,2021-05-28 15:13:59.143,0.8384721279144287,0.7869107127189636,0.734201192855835,0.4976878464221954,0.5565647773236035,0.0248233006216989,0.0277405716615004,0.027894800862094,0.0286676749112416,Sentinel2,0.528,2021.0,5.0,28.0,15.0,0.01,KAN_L
1622385755854,2021-05-30 14:42:35.854,0.896369993686676,0.8163174986839294,0.7533149719238281,0.5061175227165222,0.6083008917570114,0.020715049658701,0.0245180744650192,0.0244253786769437,0.0257543252060797,Landsat,0.541,2021.0,5.0,30.0,15.0,0.17,KAN_L
1622387041419,2021-05-30 15:04:01.419,0.8407504558563232,0.7935823798179626,0.75528883934021,0.5476105809211731,0.5634809642493724,0.0297634620322149,0.0324643381992916,0.0319916869690918,0.0325148943368541,Sentinel2,0.541,2021.0,5.0,30.0,15.0,0.17,KAN_L
1622646839360,2021-06-02 15:13:59.360,0.8823021054267883,0.8494976162910461,0.835443377494812,0.6981895565986633,0.6299870321154597,0.0244322713483281,0.0285998471761346,0.0298186641370129,0.0309688273056865,Sentinel2,0.598,2021.0,6.0,2.0,15.0,0.0,KAN_L
1622819041554,2021-06-04 15:04:01.554,0.8450900316238403,0.7937942147254944,0.7565799355506897,0.5681124925613403,0.5914750944852829,0.0257140045364072,0.0293584249887175,0.0295638086460447,0.0301717921897212,Sentinel2,0.547,2021.0,6.0,4.0,15.0,0.0,KAN_L
1622906636015,2021-06-05 15:23:56.015,0.8866416811943054,0.8357306122779846,0.7819711565971375,0.5290777683258057,0.5675256336033344,0.0241927937758369,0.0336278490363061,0.0419692604338189,0.0458417834743393,Sentinel2,0.507,2021.0,6.0,5.0,15.0,0.43,KAN_L
1622990929803,2021-06-06 14:48:49.803,0.8542674779891968,0.7864524722099304,0.7049974799156189,0.4370650053024292,0.5940724673986434,0.0192636890185071,0.021118938894172,0.0221998412427606,0.0229608374243396,Landsat,0.512,2021.0,6.0,6.0,15.0,0.12,KAN_L
1623078836333,2021-06-07 15:13:56.333,0.8036468625068665,0.7567291855812073,0.7032153010368347,0.4668770730495453,0.5352004728168248,0.0299976642152823,0.0361468956402096,0.034010254462768,0.0348691627387987,Sentinel2,0.51,2021.0,6.0,7.0,15.0,0.16,KAN_L
1623078842716,2021-06-07 15:14:02.716,0.8041893243789673,0.7573645710945129,0.7038608193397522,0.4673403799533844,0.5352623035877943,0.0302895109788183,0.0362328826325821,0.0339957236230143,0.0345085371393854,Sentinel2,0.51,2021.0,6.0,7.0,15.0,0.16,KAN_L
1623251041275,2021-06-09 15:04:01.275,0.8341325521469116,0.7882874011993408,0.7350619435310364,0.4943287670612335,0.5481942706197501,0.0326821969390127,0.0388291310721737,0.0392089255016405,0.0381569802407117,Sentinel2,0.502,2021.0,6.0,9.0,15.0,0.19,KAN_L
1623338636306,2021-06-10 15:23:56.306,0.777934730052948,0.727818489074707,0.6791151165962219,0.4617805480957031,0.5340092452824118,0.0273999675269402,0.035159872763571,0.0341136673317059,0.0348997899176395,Sentinel2,0.514,2021.0,6.0,10.0,15.0,0.13,KAN_L
